year,rank,name,slug,cuisine,price,price_num,location,city,address,full_address,lat,lng,description,image,url,prev_rank
2025,47,HK Lounge Bistro,hk-lounge-bistro,Dim sum,$$,2,San Francisco,San Francisco,1136 Folsom St.,"1136 Folsom St., San Francisco, CA",37.776162,-122.408812,"Everyone loves a comeback story. In 2019, Annie Ho’s Hong Kong Lounge II, one of the most respected dim sum palaces in San Francisco, went up in flames after utility workers struck a gas line outside. The staff managed to shepherd 50 customers through the kitchen to safety as the front of the restaurant burned. The building is still boarded up, but in 2023, Ho began a new chapter in SoMa.  HK Lounge Bistro is humbler than Hong Kong Lounge II, with drop ceiling tiles and an entryway that is reminiscent of a dentist’s office. But the walls are the same signature salmon pink and, most importantly, the dumplings and bao are as good as ever. So too is the hospitality, something of a rarity in the efficient world of dim sum. On a Sunday morning or in a time of crisis, they take care of their customers.",https://s.hdnux.com/photos/0/0/0/27164818/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#hk-lounge-bistro-listing,
2025,48,Nari,nari,Thai,$$$,3,San Francisco,San Francisco,1625 Post St.,"1625 Post St., San Francisco, CA",37.785561,-122.428705,"In 2014, Pim Techamuanvivit burst onto the scene with Kin Khao, changing the way the Bay Area thought about Thai food. Her 2019 follow-up, Nari, showcases the way the Bay Area changed her.  Local produce stars in dishes like artichoke laab, massaman curry with cherries, and som tum with kohlrabi and Pink Lady apples. The whole space, with industrial bones softened by abundant greenery, is sexy, but for date night privacy, retire to the tucked-away cocktail bar upstairs for concoctions that incorporate pandan and lemongrass.",https://s.hdnux.com/photos/0/0/0/27157009/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#nari-listing,
2025,49,Troubadour Bread & Bistro,troubadour-bread-bistro,French/sandwiches,$$$$,4,North Bay,Healdsburg,381 Healdsburg Ave.,"381 Healdsburg Ave., Healdsburg, CA",38.61151,-122.871176,"Melissa Yanc and Sean McGaughey are power players in Healdsburg’s restaurant scene, and Troubadour contains their many talents. During the day, the restaurant is a sandwich-focused cafe, showcasing the breadmaking skills of the couple, who also run the popular Quail & Condor bakery. By night, the restaurant becomes a luxe French fine dining joint with a seven-course menu.  You might start with a bite-size croque madame, then move onto red wine-braised snails and citrusy roast duck. Freshly baked bread is dispensed liberally to sop up saucy drippings.",https://s.hdnux.com/photos/0/0/0/27172546/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#troubadour-bread-bistro-listing,
2025,50,Vik’s Chaat,viks-chaat,Indian,$,1,East Bay,Berkeley,2390 Fourth St.,"2390 Fourth St., Berkeley, CA",37.861381,-122.298419,"Vik’s Chaat has been the Bay Area’s standard bearer for Indian food for over 30 years. Housed in a warehouse, Vik’s is both a grocery store and a restaurant, with canary-yellow walls and a cafeteria-style setup.  There’s a humility about the place: Orders are called out over an intercom; disposable sporks are the only available utensils; and metal trays hold thalis, rotating multicomponent meals including a main, a chutney, achaar (pickles), flatbread and basmati rice. Vik’s is a top source for exploring the elaborate world of chaat, savory Indian snacks such as dahi batata puri, hollow wheat puffs glazed with cool yogurt and sweet tamarind chutney, or sev puri, crackers topped with potatoes, mangos and a yellow confetti of crispy bits.",https://s.hdnux.com/photos/0/0/0/27172552/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#viks-chaat-listing,
2025,51,Valley,valley,Wine bar,$$,2,North Bay,Sonoma,487 1st St W,"487 1st St W, Sonoma, CA",38.2923068,-122.4591207,"We should all be so lucky as to have a Valley in our town. The multihyphenate business supplies Sonoma with coffee and pastries in the morning, lunch in the afternoon, dinner and/or drinks in the evening. In need of a bottle of wine? Or of Valley’s house brand olive oil, for that matter, or perhaps some candles or a picnic blanket or a bar of quality chocolate? You can get that too.  If it sounds like it’s doing a bit much, sit down to a meal and see how good simplicity can taste. Fall figs roasted in olive oil spooned over a wedge of French cheese, black pepper-dusted tomatoes on mayo-slicked bread — it’s the type of food that makes you wonder, why is the version I make at home not half as tasty?",https://s.hdnux.com/photos/0/0/0/27172558/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#valley-listing,
2025,52,Mariscos El Charco,mariscos-el-charco,Mexican seafood,$$,2,South Bay,San Jose,1925A Alum Rock Ave,"1925A Alum Rock Ave, San Jose, CA",37.3551421,-121.851792,"Pleasure and pain are what Mariscos El Charco does well. The bright blue truck in San Jose specializes in the superb seafood culture of Mazatlán, the coastal city in the Mexican state of Sinaloa. Its spicy secret weapon? Chiltepin, a tiny ball-shaped chile with fast-acting incendiary properties that will loosen your sinuses and eye ducts, producing tears of joy and torture.  The fiery pepper, mixed with lime juice and black pepper, electrifies the scallop aguachile — a botana ideally shared with a group. Individual diners, meanwhile, should order tostadas topped with shrimp ceviche or, better yet, a mix of fish, octopus and scallops known as the chapito. Sit at one of the outdoor communal tables equipped with tostadas and a half dozen bottled hot sauces.",https://s.hdnux.com/photos/0/0/0/27203541/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#mariscos-el-charco-listing,
2025,53,Barberio Osteria,barberio-osteria,Italian,$$,2,San Francisco,San Francisco,557 Valencia St,"557 Valencia St, San Francisco, CA",37.76402,-122.4216435,"There are more Cal-Italian restaurants in San Francisco than there are children, so the saying goes. Did we really need one more? If Barberio Osteria is that restaurant, then yes.  Open for less than two years within spitting distance of two other Cal-Italian heavy hitters on this list, Barberio Osteria flies slightly under the radar but is no less deserving of accolades for its handmade pastas, respectful use of local produce and oxtail-stuffed fried olives showered with cheese. It may be the new kid on the block, but both front and back of house have the confidence of an old-timer.",https://s.hdnux.com/photos/0/0/0/27157103/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#barberio-osteria-listing,
2025,54,3 Bottled Fish,num-bottled-fish,Vietnamese,$,1,East Bay,Oakland,1924 35th Ave,"1924 35th Ave, Oakland, CA",37.7828651,-122.2186265,"You can almost taste the passion at Vietnamese café 3 Bottled Fish in Oakland. Chef-owner Paulette Tran’s style is fun and improvisational, which means the menu changes weekly. The dishes are so compelling that you’ll be eager to return and see what she’s up to next.  On one visit, you’re met with banh mi, layered with tender steak and eggs on crusty sourdough; the next time, you might encounter an aromatic beef rice porridge. If you’re really lucky, you’ll be graced with salmon belly com tam with skin that crackles like bruleed sugar. The vibe is relaxed, the kind of place where you’re encouraged to thumb through books, strike up a conversation with locals waiting for takeout or stare at the TV showing an infinite loop of Vietnamese street vendors.",https://s.hdnux.com/photos/0/0/0/27156845/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#num-bottled-fish-listing,
2025,55,Tanzie’s,tanzies,Thai,$$,2,East Bay,Berkeley,1453 Dwight Way,"1453 Dwight Way, Berkeley, CA",37.8621875,-122.281927,"Brunch can be one-note and predictable. Not at Tanzie’s, where the genre is roused with considerable Thai flavor. The café, with its mint green decor, is intimate, unpretentious and comfortable, like a family member’s living room.  Inspired by the food culture of the northern Thai city of Chiang Mai, flavors skew sour and spicy, borrowing from its bordering neighbor, Laos. Those leanings are encapsulated in aromatic, bouncy sausages, which pair fabulously with “lava eggs,” a runny, open-faced omelet. Ribbons of pork jowl melt in your mouth. And sizzling platters of fried rice, coated in peppery curry paste, pack a savory wallop. Dinner service is the most recent addition to its repertoire, and similar to brunch, it looks beyond the typical Thai fare, with dishes featuring beef cheek, pork blood and brains.",https://s.hdnux.com/photos/0/0/0/27156818/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#tanzies-listing,
2025,56,Ettan,ettan,Indian,$$,2,Peninsula,Palo Alto,518 Bryant St.,"518 Bryant St., Palo Alto, CA",37.4453673,-122.1613688,"Ettan walked so that Copra could run. Chef Srijith Gopinathan’s first collaboration with businesswoman and heiress Ayesha Thapar, filled with greenery and chandeliers, set the template for Copra’s open, airy design. With second-story tables overlooking an atrium, it’s a dramatic setting for Desi families celebrating special occasions or couples on dates.  The Cal-Indian menu makes excellent use of local produce, incorporating lacinato kale into saag paneer and substituting persimmon in dishes that might otherwise feature mango during the winter months.",https://s.hdnux.com/photos/0/0/0/27156793/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#ettan-listing,
